[2022-06-04T00:39:09.813] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:09.814] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:10.600] [INFO] custom - Path: /login, Method: GET
[2022-06-04T00:39:10.714] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:10.714] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:13.760] [INFO] custom - Path: /login, Method: POST
[2022-06-04T00:39:13.826] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:39:14.009] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:39:14.009] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:39:14.026] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:39:14.285] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:39:14.529] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:14.530] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:41:43.641] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:41:43.902] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:41:44.111] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:41:44.288] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:41:44.289] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:41:44.313] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:41:45.104] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:41:45.264] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:41:45.264] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:44:04.491] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:44:04.730] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:44:04.735] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:44:05.061] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:44:05.074] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:44:05.179] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:44:05.180] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:44:05.230] [INFO] custom - Path: /productos, Method: GET
